数据库：年度数据
时间：最近20年
指标,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年
居民消费价格指数(上年=100),102.0,100.9,102.5,102.9,102.1,101.6,102.0,101.4,102.0,102.6,102.6,105.4,103.3,99.3,105.9,104.8,101.5,101.8,103.9,101.2
城市居民消费价格指数(上年=100),102.0,101.0,102.3,102.8,102.1,101.7,102.1,101.5,102.1,102.6,102.7,105.3,103.2,99.1,105.6,104.5,101.5,101.6,103.3,100.9
农村居民消费价格指数(上年=100),102.0,100.7,103.0,103.2,102.1,101.3,101.9,101.3,101.8,102.8,102.5,105.8,103.6,99.7,106.5,105.4,101.5,102.2,104.8,101.6
商品零售价格指数(上年=100),102.7,101.6,101.4,102.0,101.9,101.1,100.7,100.1,101.0,101.4,102.0,104.9,103.1,98.8,105.9,103.8,101.0,100.8,102.8,99.9
工业生产者出厂价格指数(上年=100),104.1,108.1,98.2,99.7,103.5,106.3,98.6,94.8,98.1,98.1,98.3,106.0,105.5,94.6,106.9,103.1,103.0,104.9,106.1,102.3
工业生产者购进价格指数(上年=100),106.1,111.0,97.7,99.3,104.1,108.1,98.0,93.9,97.8,98.0,98.2,109.1,109.6,92.1,110.5,104.4,106.0,108.3,111.4,104.8
固定资产投资价格指数(上年=100),,,,102.6,105.4,105.8,99.4,98.2,100.5,100.3,101.1,106.6,103.6,97.6,108.9,103.9,101.5,101.6,105.6,102.2
"注：1.国家统计局从2011年1月开始实施新的工业生产者价格统计调查制度方法。""工业品价格统计""改称为""工业生产者价格统计""，将""工业品出厂价格指数""改称为""工业生产者出厂价格指数""。"
"　　　2.国家统计局从2011年1月开始实施新的工业生产者价格统计调查制度方法。""工业品价格统计""改称为""工业生产者价格统计""，相应地将""原材料、燃料、动力购进价格指数""改称为""工业生产者购进价格指数""。"
数据来源：国家统计局
